Hostname,Catalog Num,Description,Serial Number,Qty,Internal designation,Building,Street,Town or area,County or postcode,Country,GPS coordinates,Pricing 1 Year (Mar 2011 - Feb 2012),Comments and Actions Tomas West,Eqpt Type,Removal Total Price,Additions Total Price,Pricing 3 Year (Mar 2013 - Feb 2014)
cr2-cwt.hea.net,10GBE-WL-XFP,10GbE LAN/WAN-PHY Interface Module,SAL1626F704,1,Citywest | ESAT-X ,"BT Application Hosting, Unit 4029 ","Kingswood Road, National Digital Park ",City West ,Co. Dublin ,Ireland ,"53.2914, -6.41475","€2,527.31",Add to contract from September to 1st March 2014,6 month to co terminate,,,"€2,527.31"
cr2-pw.hea.net,10GBE-WL-XFP,10GbE LAN/WAN-PHY Interface Module,SAL1626F6ZC,1,Parkwest | Interxion ,"Unit 35, Park West Business Park ",Lavery Avenue ,Dublin 12 ,Co. Dublin ,Ireland ,"53.3331, -6.36929","€2,527.31",Add to contract from September to 1st March 2014,6 month to co terminate,,,"€2,527.31"
cr1-lab.hea.net,8-10GBE,Cisco CRS-1 Series 8x10GbE Interface Module,SAD113205KE,1,HEAnet GD5 ,1st floor ,George's Dock 5 ,IFSC ,Dublin 1 ,Ireland ,"53.3496, -6.24659","€2,527.31",,,,,"€2,527.31"
cr1-lab.hea.net,8-10GBE,Cisco CRS-1 Series 8x10GbE Interface Module,SAD113205LA,1,HEAnet GD5 ,1st floor ,George's Dock 5 ,IFSC ,Dublin 1 ,Ireland ,"53.3496, -6.24659","€2,527.31",,,,,"€2,527.31"
cr2-cwt.hea.net,8-10GBE,Cisco CRS-1 Series 8x10GbE Interface Module,SAD113205MH,1,Citywest | ESAT-X ,"BT Application Hosting, Unit 4029 ","Kingswood Road, National Digital Park ",City West ,Co. Dublin ,Ireland ,"53.2914, -6.41475","€4,043.69",,,,,"€4,043.69"
cr2-cwt.hea.net,8-10GBE,Cisco CRS-1 Series 8x10GbE Interface Module,SAD113205LB,1,Citywest | ESAT-X ,"BT Application Hosting, Unit 4029 ","Kingswood Road, National Digital Park ",City West ,Co. Dublin ,Ireland ,"53.2914, -6.41475","€4,043.69",,,,,"€4,043.69"
cr2-pw.hea.net,8-10GBE,Cisco CRS-1 Series 8x10GbE Interface Module,SAD113205KD,1,Parkwest | Interxion ,"Unit 35, Park West Business Park ",Lavery Avenue ,Dublin 12 ,Co. Dublin ,Ireland ,"53.3331, -6.36929","€4,043.69",,,,,"€4,043.69"
cr2-pw.hea.net,8-10GBE,Cisco CRS-1 Series 8x10GbE Interface Module,SAD113205LK,1,Parkwest | Interxion ,"Unit 35, Park West Business Park ",Lavery Avenue ,Dublin 12 ,Co. Dublin ,Ireland ,"53.3331, -6.36929","€4,043.69",,,,,"€4,043.69"
cr2-pw.hea.net,8-10GBE,Cisco CRS-1 Series 8x10GbE Interface Module,SAD113205KB,1,Parkwest | Interxion ,"Unit 35, Park West Business Park ",Lavery Avenue ,Dublin 12 ,Co. Dublin ,Ireland ,"53.3331, -6.36929","€4,043.69",,,,,"€4,043.69"
cr1-lab.hea.net,8-10GBE,Cisco CRS-1 Series 8x10GbE Interface Module,SAD143401N2,1,HEAnet GD5 ,1st floor ,George's Dock 5 ,IFSC ,Dublin 1 ,Ireland ,"53.3496, -6.24659","€2,527.31",Add to new contract 2013 to 2014,,,,"€2,527.31"
cr2-cwt.hea.net,8-10GBE,Cisco CRS-1 Series 8x10GbE Interface Module,SAD142803MH,1,Citywest | ESAT-X ,"BT Application Hosting, Unit 4029 ","Kingswood Road, National Digital Park ",City West ,Co. Dublin ,Ireland ,"53.2914, -6.41475","€4,043.69",Add to new contract 2013 to 2014,,,,"€4,043.69"
cr2-cwt.hea.net,8-10GBE,Cisco CRS-1 Series 8x10GbE Interface Module,SAD1432025L,1,Citywest | ESAT-X ,"BT Application Hosting, Unit 4029 ","Kingswood Road, National Digital Park ",City West ,Co. Dublin ,Ireland ,"53.2914, -6.41475","€4,043.69",Add to new contract 2013 to 2014,,,,"€4,043.69"
ap1-gd5.hea.net,AIR-LAP1242AG-E-K9,Cisco Aironet 1240 Series (IEEE 802.11a/g) Access Point,FCZ104281NS,1,HEAnet GD5 ,1st floor ,George's Dock 5 ,IFSC ,Dublin 1 ,Ireland ,"53.3496, -6.24659",€33.35,,AP's,,,€33.35
ap2-gd5.hea.net,AIR-LAP1242AG-E-K9,Cisco Aironet 1240 Series (IEEE 802.11a/g) Access Point,FCZ104281NL,1,HEAnet GD5 ,1st floor ,George's Dock 5 ,IFSC ,Dublin 1 ,Ireland ,"53.3496, -6.24659",€33.35,,AP's,,,€33.35
pw-asr1.net.edu.ie,ASR1000-ESP10,"Cisco ASR1000 Embedded Services Processor, 10Gbps",JAE15020EW7,1,Parkwest | Interxion,"Unit 35, Park West Business Park",Lavery Avenue,Dublin 12,Co. Dublin,Ireland,"53.3331, -6.36929",,Add to contract confirm pricing  (Cisco contract 91368772),,,€974.31,€974.31
pw-asr2.net.edu.ie,ASR1000-ESP10,"Cisco ASR1000 Embedded Services Processor, 10Gbps",JAE15020EZ2,1,Parkwest | Interxion,"Unit 35, Park West Business Park",Lavery Avenue,Dublin 12,Co. Dublin,Ireland,"53.3331, -6.36929",,Add to contract confirm pricing  (Cisco contract 91368772),,,€974.31,€974.31
pw-asr1.net.edu.ie,ASR1000-RP1,Cisco ASR1000 Route Processor 1,JAE15020MFT,1,Parkwest | Interxion,"Unit 35, Park West Business Park",Lavery Avenue,Dublin 12,Co. Dublin,Ireland,"53.3331, -6.36929",,Add to contract confirm pricing  (Cisco contract 91368772),,,€432.93,€432.93
pw-asr2.net.edu.ie,ASR1000-RP1,Cisco ASR1000 Route Processor 1,JAE15020MFP,1,Parkwest | Interxion,"Unit 35, Park West Business Park",Lavery Avenue,Dublin 12,Co. Dublin,Ireland,"53.3331, -6.36929",,Add to contract confirm pricing  (Cisco contract 91368772),,,€432.93,€432.93
pw-asr1.net.edu.ie,ASR1000-SIP10,Cisco ASR1000 SPA Interface Processor 10,JAE15030E9Z,1,Parkwest | Interxion,"Unit 35, Park West Business Park",Lavery Avenue,Dublin 12,Co. Dublin,Ireland,"53.3331, -6.36929",,Add to contract confirm pricing  (Cisco contract 91368772),,,€288.62,€288.62
pw-asr2.net.edu.ie,ASR1000-SIP10,Cisco ASR1000 SPA Interface Processor 10,JAE15030N9Z,1,Parkwest | Interxion,"Unit 35, Park West Business Park",Lavery Avenue,Dublin 12,Co. Dublin,Ireland,"53.3331, -6.36929",,Add to contract confirm pricing  (Cisco contract 91368772),,,€288.62,€288.62
cpe1-ac-santry.hea.net,ASR1002-F,"Cisco ASR1002 System, Fixed ESP, 4 built-in GE, 4GB DRAM",FOX1325GGV3,1,An Cheim ,,Fumbally Square ,Fumbally Lane ,Dublin 8 ,Ireland ,"53.337, -6.27382",€595.02,,,,,€595.02
cpe1-hea.hea.net,ASR1002-F,"Cisco ASR1002 System, Fixed ESP, 4 built-in GE, 4GB DRAM",FOX1415GML5,1,Higher Education Authority ,Brooklawn House ,Crampton Avenue ,Shelbourne Road ,Dublin 4 ,Ireland ,"53.3166, -6.22159",€595.02,,,,,€595.02
cpe1-nci.hea.net,ASR1002-F,"Cisco ASR1002 System, Fixed ESP, 4 built-in GE, 4GB DRAM",FOX1336GRYB,1,National College of Ireland ,,Mayor Street ,IFSC ,Dublin 1 ,Ireland ,"53.3489, -6.24292",€595.02,,,,,€595.02
cpe2-ac.hea.net,ASR1002-F,"Cisco ASR1002 System, Fixed ESP, 4 built-in GE, 4GB DRAM",FOX1339H5T2,1,An Cheim ,,Fumbally Square ,Fumbally Lane ,Dublin 8 ,Ireland ,"53.337, -6.27382",€595.02,,,,,€595.02
cpe2-ait.hea.net,ASR1002-F,"Cisco ASR1002 System, Fixed ESP, 4 built-in GE, 4GB DRAM",FOX1345H39B,1,AIT Campus ,,Dublin Road ,Athlone ,Co. Westmeath ,Ireland ,"53.4247, -7.95238",€595.02,,,,,€595.02
cpe2-dkit.hea.net,ASR1002-F,"Cisco ASR1002 System, Fixed ESP, 4 built-in GE, 4GB DRAM",FOX1334GVU5,1,DKIT Campus ,,Dublin Road ,Dundalk ,Co. Louth ,Ireland ,"53.9825, -6.39486",€595.02,,,,,€595.02
cpe2-gmit.hea.net,ASR1002-F,"Cisco ASR1002 System, Fixed ESP, 4 built-in GE, 4GB DRAM",FOX1334GVVM,1,GMIT Main Campus ,Main Campus ,Dublin Road ,Galway ,Co. Galway ,Ireland ,"53.2786, -9.01038",€595.02,,,,,€595.02
cpe2-iadt.hea.net,ASR1002-F,"Cisco ASR1002 System, Fixed ESP, 4 built-in GE, 4GB DRAM",FOX1416H01X,1,IADT Campus ,,Kill Avenue ,Dun Laoghaire ,Co. Dublin ,Ireland ,"53.2819, -6.15178",€595.02,,,,,€595.02
cpe2-itb.hea.net,ASR1002-F,"Cisco ASR1002 System, Fixed ESP, 4 built-in GE, 4GB DRAM",FOX1339H33F,1,Institute of Technology Blanchardstown ,,Blanchardstown Road North ,Blanchardstown ,Dublin 15 ,Ireland ,"53.4031, -6.38074",€595.02,,,,,€595.02
cpe2-itc.hea.net,ASR1002-F,"Cisco ASR1002 System, Fixed ESP, 4 built-in GE, 4GB DRAM",FOX1339H2EG,1,Institute of Technology Carlow ,,Kilkenny Road ,Carlow ,Co. Carlow ,Ireland ,"52.8287, -6.93673",€595.02,,,,,€595.02
cpe2-itt.hea.net,ASR1002-F,"Cisco ASR1002 System, Fixed ESP, 4 built-in GE, 4GB DRAM",FOX1345G8EE,1,IT Tralee campus ,,Clash ,Tralee ,Co. Kerry ,Ireland ,"52.2696, -9.7001",€595.02,,,,,€595.02
cpe2-itttallaght.hea.net,ASR1002-F,"Cisco ASR1002 System, Fixed ESP, 4 built-in GE, 4GB DRAM",FOX1334GVW0,1,Institute of Technology Tallaght ,,Tallaght ,Dublin 24 ,Co. Dublin ,Ireland ,"53.2911, -6.36363",€595.02,,,,,€595.02
cpe2-lit.hea.net,ASR1002-F,"Cisco ASR1002 System, Fixed ESP, 4 built-in GE, 4GB DRAM",FOX1338GAN2,1,Limerick Institute of Technology ,,Moylish Park ,Limerick ,Co. Limerick ,Ireland ,"52.6738, -8.64812",€595.02,,,,,€595.02
cpe2-lyit.hea.net,ASR1002-F,"Cisco ASR1002 System, Fixed ESP, 4 built-in GE, 4GB DRAM",FOX1336GRZC,1,Letterkenny Institute of Technology ,,Port Road ,Letterkenny ,Co. Donegal ,Ireland ,"54.9501, -7.71838",€595.02,,,,,€595.02
cpe2-nci.hea.net,ASR1002-F,"Cisco ASR1002 System, Fixed ESP, 4 built-in GE, 4GB DRAM",FOX1336GRYM,1,National College of Ireland ,,Mayor Street ,IFSC ,Dublin 1 ,Ireland ,"53.3489, -6.24292",€595.02,,,,,€595.02
cpe1-cit.hea.net,ASR1002-F,"Cisco ASR1002 System, Fixed ESP, 4 built-in GE, 4GB DRAM",FOX1335GA9D,1,CIT Campus ,,Bishopstown ,Cork ,Co. Cork ,Ireland ,"51.8853, -8.5341",€595.02,,,,,€595.02
cpe2-its.hea.net,ASR1002-F,"Cisco ASR1002 System, Fixed ESP, 4 built-in GE, 4GB DRAM",FOX1510G6T3,1,Institute of Technology Sligo ,,Ash Lane ,Sligo ,Co. Sligo ,Ireland ,"54.2763, -8.45899",€595.02,Add to new contract 2013 to 2014,,,,€595.02
pw-asr1.net.edu.ie,ASR1004,ASR1004 Chassis,FOX1448H26Y,1,Parkwest | Interxion,"Unit 35, Park West Business Park",Lavery Avenue,Dublin 12,Co. Dublin,Ireland,"53.3331, -6.36929",,Add to contract confirm pricing  (Cisco contract 91368772),,,€180.46,€180.46
pw-asr2.net.edu.ie,ASR1004,ASR1004 Chassis,FOX1448H26R,1,Parkwest | Interxion,"Unit 35, Park West Business Park",Lavery Avenue,Dublin 12,Co. Dublin,Ireland,"53.3331, -6.36929",,Add to contract confirm pricing  (Cisco contract 91368772),,,€180.46,€180.46
hermes-cr,CISCO2621XM,"Mid Perf Dual 10/100 Ethernet Router w/Cisco IOS IP,32F/128D",JAE07501CVF (563339064),1,NCTE Campus,INVENT Building,"DCU Campus, Glasnevin",Dublin 9,Co. Dublin,Ireland,"53.3854, -6.2526",€152.61,,,,,€152.61
mgt1-adva.hea.net,CISCO2801,"2801 w/AC PWR,2FE,4slots(2HWIC),2PVDM,2AIM,IP BASE,128F/384D",FCZ10332184,1,Citywest | ESAT-X ,"BT Application Hosting, Unit 4029 ","Kingswood Road, National Digital Park ",City West ,Co. Dublin ,Ireland ,"53.2914, -6.41475",€88.68,,,,,€88.68
cpe1-bcfe.hea.net,CISCO2801,"2801 w/AC PWR,2FE,4slots(2HWIC),2PVDM,2AIM,IP BASE,128F/384D",FCZ1101218V,1,Ballyfermot College of Further Education ,,Ballyfermot Road ,Ballyfermot ,Dublin 10 ,Ireland ,"53.3406, -6.35102",€88.68,,,,,€88.68
cpe1-coa.hea.net,CISCO2801,"2801 w/AC PWR,2FE,4slots(2HWIC),2PVDM,2AIM,IP BASE,128F/384D",FCZ094037Y9,1,College of Anaesthetists of Ireland ,,22 Merrion Square North ,Dublin 2 ,Co. Dublin ,Ireland ,"53.3402, -6.24804",€88.68,,,,,€88.68
cpe1-csn.hea.net,CISCO2801,"2801 w/AC PWR,2FE,4slots(2HWIC),2PVDM,2AIM,IP BASE,128F/384D",FCZ130615LH,1,Coláiste Stiofáin Naofa ,,21 Lavitt's Quay ,Cork ,Co. Cork ,Ireland ,"51.8773, -8.48117",€88.68,,,,,€88.68
cpe1-esri.hea.net,CISCO2801,"2801 w/AC PWR,2FE,4slots(2HWIC),2PVDM,2AIM,IP BASE,128F/384D",FCZ121812BR,1,Economic and Social Research Institute ,,Whitaker Square ,Sir John Rogerson's Quay ,Dublin 2 ,Ireland ,"53.3449, -6.23491",€88.68,,,,,€88.68
cpe1-gti.hea.net,CISCO2801,"2801 w/AC PWR,2FE,4slots(2HWIC),2PVDM,2AIM,IP BASE,128F/384D",FCZ1101218T,1,Georgia Tech Ireland ,Athlone Business and Technology Park ,Garrycastle ,Dublin Road ,Athlone ,Co. Westmeath ,"53.415, -7.90052",€88.68,,,,,€88.68
cpe1-hetac.hea.net,CISCO2801,"2801 w/AC PWR,2FE,4slots(2HWIC),2PVDM,2AIM,IP BASE,128F/384D",FCZ094037ZC,1,Higher Education and Training Awards Council ,,26 - 27 Denzille Lane ,Dublin 2 ,Co. Dublin ,Ireland ,"53.3407, -6.24647",€88.68,,,,,€88.68
cpe1-hrb.hea.net,CISCO2801,"2801 w/AC PWR,2FE,4slots(2HWIC),2PVDM,2AIM,IP BASE,128F/384D",FCZ094037Y6,1,Health Research Board ,,73 Lower Baggot Street ,Dublin 2 ,Co. Dublin ,Ireland ,"53.334, -6.24518",€88.68,,,,,€88.68
cpe1-ioti.hea.net,CISCO2801,"2801 w/AC PWR,2FE,4slots(2HWIC),2PVDM,2AIM,IP BASE,128F/384D",FCZ121812BT,1,Institutes of Technology Ireland ,,4 Lower Hatch Street ,Dublin 2 ,Co. Dublin ,Ireland ,"53.3342, -6.25591",€88.68,,,,,€88.68
